timestamp,Hog_parking_Antoinette,Fox_office_Vicki,Fox_office_Joy,Hog_services_Marshall,Bull_office_Ella,Fox_education_Elvira,Bull_office_Sally,Fox_education_Charles,Bear_education_Chad,Rat_office_Lora,Rat_office_Adele,Rat_assembly_Kelley,Rat_public_Julieann,Bear_education_Lewis,Rat_office_Randy,Rat_assembly_Pauline,Rat_office_Craig
2016-01-01 00:00:00,,88.1,115.74,,0.0,227.38,0.0,11.82,563.7869,386.11,624.62,,,,55.93,,168.29
2016-01-01 01:00:00,,91.88,113.01,,72.0,287.21,49.0,11.94,562.5808,381.16,631.24,,,,57.5,,167.36
2016-01-01 02:00:00,22.0,92.6,137.38,47.271,73.0,249.37,48.0,12.57,558.5333,390.94,634.65,,,,56.51,,167.78
2016-01-01 03:00:00,21.0,95.39,138.45,53.169,72.0,236.1,50.0,12.44,560.7201,403.66,643.45,,,,56.5,,169.03
2016-01-01 04:00:00,21.166666666666668,95.51,138.07,52.403,75.0,246.47,48.0,12.4,560.187,395.02,647.8,,,,57.26,,166.24
2016-01-01 05:00:00,21.333333333333332,97.72,138.32,51.832,74.0,244.41,51.0,12.52,555.8882,534.87,633.43,,,,56.46,,167.55
2016-01-01 06:00:00,21.5,98.36,139.28,52.015,71.0,248.94,90.0,12.87,573.6673,572.5,682.94,,,,56.15,1.84,169.82
2016-01-01 07:00:00,21.666666666666668,99.49,137.66,52.254,71.0,254.58,87.0,12.94,584.5656,598.54,894.99,,,15.5,57.05,1.04,167.26
2016-01-01 08:00:00,21.833333333333332,99.26,127.44,51.88,71.0,272.42,84.0,12.69,594.374,598.41,985.07,,,15.4429,49.09,1.08,149.24
2016-01-01 09:00:00,22.0,96.48,128.21,52.778,71.0,260.05,80.0,11.96,592.2622,607.06,972.18,0.84,0.97,15.446,49.77,0.0,148.5
2016-01-01 10:00:00,21.0,94.74,131.36,48.874,71.0,239.94,79.0,11.34,595.7126,594.48,959.92,0.7466666666666667,0.44,15.630666666666666,48.98,0.3466666666666667,150.97
2016-01-01 11:00:00,22.0,92.91,129.24,49.006,73.0,215.33,77.0,11.24,595.021,573.76,912.15,0.6533333333333333,0.43,15.815333333333333,50.27,0.6933333333333334,151.3
2016-01-01 12:00:00,20.666666666666668,85.57,131.0,49.769,71.0,214.59,77.71428571428571,10.7,600.8682,548.86,848.6,0.56,0.4,16.0,49.36,1.04,153.76
2016-01-01 13:00:00,19.333333333333332,83.7,133.78,49.57,76.0,206.93,78.42857142857143,10.25,602.1581,547.1,832.89,0.536,0.42,16.25,50.35,0.0,157.0
2016-01-01 14:00:00,18.0,81.53,132.63,49.583,71.0,194.59,79.14285714285714,9.89,600.1911,549.19,819.78,0.512,0.5075,16.25,49.53,0.39999999999999997,158.27
2016-01-01 15:00:00,19.0,86.64,129.9,49.299,69.0,183.65,79.85714285714286,9.42,607.7964,544.33,816.55,0.488,0.595,16.25,50.64,0.7999999999999999,165.85
2016-01-01 16:00:00,18.2,92.15,126.42,46.26300000000001,73.0,176.68,80.57142857142857,9.69,596.9896,561.9,818.87,0.464,0.6825,16.25,49.78,1.2,166.92
2016-01-01 17:00:00,17.4,89.65,123.72,43.968,71.0,164.54,81.28571428571429,10.09,598.1391,592.41,861.19,0.44,0.77,16.25,51.11,1.4,160.58
2016-01-01 18:00:00,16.6,86.69,131.49,46.36,71.75,163.88,82.0,10.57,597.7609,609.58,872.58,0.352,1.12,15.5,54.7,1.6,180.01
2016-01-01 19:00:00,15.8,81.75,128.7,46.724,72.5,164.59,52.0,10.77,586.797,615.3,663.71,0.264,1.13,15.0,56.64,1.8,187.2
2016-01-01 20:00:00,15.0,79.62,125.94,46.905,73.25,164.22,50.0,10.51,568.0232,470.32,692.78,0.176,1.15,15.083333333333334,57.11,2.0,184.89
2016-01-01 21:00:00,15.0,82.96,124.63,45.79600000000001,74.0,178.55,49.0,11.01,564.6461,446.85,648.52,0.08800000000000002,1.16,15.166666666666666,57.25,2.0,186.68
2016-01-01 22:00:00,15.0,83.28,126.05,46.065,72.0,180.16,48.0,10.95,564.5715,444.05,680.1,0.0,1.18,15.25,56.66,2.0,184.94
2016-01-01 23:00:00,15.0,82.97,127.65,46.322,76.0,176.9,48.0,10.72,561.0639,434.11,663.41,1.28,1.1724999999999999,15.0,57.5,2.0,182.61
2016-01-02 00:00:00,16.0,84.32,110.87,46.50899999999999,74.0,175.39,48.0,11.1,569.3919,411.48,672.63,1.296,1.165,15.1,56.72,2.0,181.17
2016-01-02 01:00:00,15.0,88.76,107.39,46.103,73.0,191.62,48.0,11.37,556.0014,415.25,683.12,1.312,1.1575,15.2,58.47,2.0,179.41
2016-01-02 02:00:00,16.0,96.48,129.39,45.872,72.0,205.09,49.0,11.38,559.2056,412.98,679.08,1.328,1.15,15.3,57.97,1.968,179.59
2016-01-02 03:00:00,17.4,94.94,131.14,45.992,73.0,204.89,48.0,11.61,568.5514,428.72,703.98,1.344,1.16,15.4,57.54,1.936,180.56
2016-01-02 04:00:00,18.8,95.15,125.44,46.5,72.33333333333333,209.07,48.0,11.55,563.1822,424.48,675.19,1.36,1.15,15.5,56.5,1.9040000000000001,179.31
2016-01-02 05:00:00,20.2,95.99,127.86,46.114,71.66666666666667,210.27,48.0,11.59,566.8861,439.07,698.21,1.29,1.14,15.0,84.44,1.872,179.82
2016-01-02 06:00:00,21.6,99.39,132.49,46.289,71.0,219.36,48.0,11.83,572.9082,461.89,696.08,1.2200000000000002,1.13,15.5,83.35,1.84,179.42
2016-01-02 07:00:00,23.0,96.15,130.58,46.5,72.0,219.53,50.0,12.11,578.8862,469.09,755.24,1.1500000000000001,1.12,15.25,84.41,0.0,178.5
2016-01-02 08:00:00,23.0,98.81,124.5,46.932,75.0,221.69,76.0,11.64,596.351,626.2,704.81,1.08,1.05,15.285714285714286,85.48,1.04,159.76
2016-01-02 09:00:00,23.0,98.36,132.92,44.542,71.0,202.58,95.0,10.84,607.153,595.69,716.3,0.9500000000000001,1.0122222222222224,15.321428571428571,93.31,1.12,162.31
2016-01-02 10:00:00,23.0,96.95,141.72,43.238,72.0,180.52,92.4,10.35,609.0355,562.57,657.92,0.8200000000000001,0.9744444444444444,15.357142857142858,93.53,1.04,165.15
2016-01-02 11:00:00,23.0,94.71,146.57,41.914,69.0,175.33,89.8,10.24,610.2097,523.85,661.81,0.6900000000000001,0.9366666666666666,15.392857142857142,91.97,1.6,164.59
2016-01-02 12:00:00,22.5,97.11,147.8,43.073,69.33333333333333,167.45,87.2,9.48,615.9391,514.54,632.3,0.56,0.8988888888888888,15.428571428571429,93.19,1.6600000000000001,165.18
2016-01-02 13:00:00,22.0,98.54,146.82,43.093,69.66666666666667,162.73,84.6,9.58,613.2055,518.12,643.19,0.512,0.8611111111111112,15.464285714285714,96.67,1.7200000000000002,165.32
2016-01-02 14:00:00,21.5,108.98,143.91,46.695,70.0,156.2,82.0,9.01,615.3467,543.85,628.07,0.464,0.8233333333333334,15.5,94.64,1.78,163.72
2016-01-02 15:00:00,21.0,112.26,142.68,43.761,72.0,151.09,79.0,9.03,617.3758,573.23,608.88,0.41600000000000004,0.7855555555555556,16.0,92.92,1.84,167.95
2016-01-02 16:00:00,20.0,113.68,138.42,42.422,71.0,137.45,49.0,9.08,608.9056,598.52,582.85,0.368,0.7477777777777778,16.25,90.99,1.76,171.2
2016-01-02 17:00:00,18.0,107.11,132.57,44.091,71.75,139.15,47.0,8.79,595.0908,611.82,598.56,0.32,0.71,16.5,89.28,2.04,166.87
2016-01-02 18:00:00,16.0,100.9,142.01,46.243,72.5,138.76,47.333333333333336,9.45,580.4668,457.18,602.12,0.256,0.815,16.535714285714285,89.24,2.0,179.74
2016-01-02 19:00:00,16.0,97.76,138.92,46.411,73.25,144.13,47.666666666666664,9.71,581.8674,454.57,623.76,0.192,0.9199999999999999,16.571428571428573,88.58,2.006666666666667,188.93
