building_id,site_id,kaggle_id,primaryspaceusage,sub_primaryspaceusage,sqm,yearbuilt
Bear_education_Chad,Bear,653,Education,Education,39101.5,1930.0
Bear_education_Lewis,Bear,623,Education,Education,4588.3,1931.0
Bobcat_office_Nikita,Bobcat,1007,Office,Office,3895.7,
Bobcat_other_Jovita,Bobcat,1001,Other,Other,416.4,
Bull_assembly_Daryl,Bull,950,Entertainment/public assembly,Athletic Field,1491.3,
Bull_assembly_Gerri,Bull,967,Entertainment/public assembly,Sports Stadium,11079.8,
Bull_assembly_Gigi,Bull,975,Entertainment/public assembly,Sports Stadium,39620.5,
Bull_assembly_Katia,Bull,909,Entertainment/public assembly,Sports Stadium,6142.8,
Bull_assembly_Lesa,Bull,948,Entertainment/public assembly,Athletic Field,1892.6,
Bull_assembly_Nathanial,Bull,924,Entertainment/public assembly,Museum,23436.5,
Bull_assembly_Nick,Bull,881,Entertainment/public assembly,Conference Center,32032.8,
Bull_education_Annette,Bull,886,Education,College Laboratory,6484.5,
Bull_education_Bernice,Bull,961,Education,College Laboratory,14481.9,
Bull_education_Brady,Bull,882,Education,College Classroom,3636.5,
Bull_education_Brain,Bull,914,Education,College Laboratory,21365.2,
Bull_education_Brandi,Bull,919,Education,College Classroom,2901.6,
Bull_education_Brenda,Bull,880,Education,College Classroom,14652.9,
Bull_education_Carl,Bull,903,Education,College Laboratory,25622.0,
Bull_education_Clarita,Bull,929,Education,College Laboratory,18546.0,
Bull_education_Dakota,Bull,884,Education,College Classroom,3585.9,
Bull_education_Genie,Bull,922,Education,College Classroom,13675.8,
Bull_education_Gregory,Bull,974,Education,College Classroom,17333.1,
Bull_education_Hayley,Bull,969,Education,College Classroom,17997.4,
Bull_education_Joseph,Bull,981,Education,College Classroom,15519.9,
Bull_education_Kendra,Bull,928,Education,College Classroom,16640.3,
Bull_education_Kristal,Bull,890,Education,College Laboratory,18853.5,
Bull_education_Linnie,Bull,968,Education,Student Union,14307.0,
Bull_education_Lydia,Bull,889,Education,College Classroom,11712.9,
Bull_education_Lyn,Bull,926,Education,College Classroom,2418.5,
Bull_education_Matilda,Bull,994,Education,College Classroom,10069.9,
Bull_education_Mervin,Bull,952,Education,College Classroom,20255.1,
Bull_education_Miquel,Bull,896,Education,College Classroom,22820.4,
Bull_education_Patrina,Bull,925,Education,College Classroom,5054.4,
Bull_education_Racheal,Bull,966,Education,College Laboratory,36560.1,
Bull_education_Reina,Bull,894,Education,College Classroom,9434.8,
Bull_education_Reynaldo,Bull,893,Education,College Classroom,4384.2,
Bull_education_Roland,Bull,931,Education,College Classroom,20071.7,
Bull_education_Roseann,Bull,879,Education,College Laboratory,10241.2,
Bull_education_Sebastian,Bull,895,Education,College Classroom,5117.7,
Bull_education_Stewart,Bull,996,Education,College Laboratory,7212.2,
Bull_education_Tracey,Bull,978,Education,College Classroom,24014.6,
Bull_lodging_Abby,Bull,936,Lodging/residential,Dormitory,1054.4,
Bull_lodging_Jeremiah,Bull,942,Lodging/residential,Dormitory,5326.5,
Bull_lodging_Lettie,Bull,905,Lodging/residential,Dormitory,3683.4,
Bull_lodging_Melissa,Bull,971,Lodging/residential,Dormitory,27992.3,
Bull_lodging_Perry,Bull,887,Lodging/residential,Dormitory,6480.4,
Bull_lodging_Xavier,Bull,941,Lodging/residential,Dormitory,750.6,
Bull_office_Anne,Bull,935,Office,Office,1499.0,
Bull_office_Claudia,Bull,988,Office,Office,2272.7,
Bull_office_Debbie,Bull,992,Office,Office,4782.9,
Bull_office_Ella,Bull,977,Office,Office,821.0,
Bull_office_Rob,Bull,945,Office,Office,30885.3,
Bull_office_Sally,Bull,990,Office,Office,7705.3,
Bull_office_Yvonne,Bull,973,Office,Office,18019.5,
Bull_services_Jeanmarie,Bull,970,Services,garage,32149.6,
