building,Global_MASE,Local_MASE,차이(Global-Local),우세,site_id,primaryspaceusage,sqm
Bull_office_Ella,0.7288393563921483,1.4153064081974953,-0.6864670518053471,Global,Bull,Office,821.0
Bull_office_Sally,1.7910855453790016,1.9280260908392504,-0.1369405454602488,Global,Bull,Office,7705.3
Bear_education_Chad,0.448607999476373,0.5214984656877986,-0.07289046621142559,Global,Bear,Education,39101.5
Rat_office_Lora,0.3383715537432911,0.38031447542677105,-0.04194292168347996,Global,Rat,Office,21274.8
Hog_services_Marshall,0.24752962972358336,0.2645678957235922,-0.017038266000008823,Global,Hog,Services,6506.9
Fox_education_Elvira,0.4657789287240943,0.47709343789534353,-0.01131450917124921,Global,Fox,Education,13826.7
Rat_office_Adele,0.36246209312171274,0.3660438504248393,-0.0035817573031265426,Global,Rat,Office,37904.4
Fox_education_Charles,0.38227009030206077,0.37044160761307204,0.011828482688988728,Local,Fox,Education,909.3
Rat_office_Craig,0.2891038228687152,0.24995603280847167,0.03914779006024355,Local,Rat,Office,9754.8
Rat_public_Julieann,0.18923886638652376,0.14787550253346154,0.04136336385306222,Local,Rat,Public services,402.8
Bear_education_Lewis,0.3840302227163747,0.339172407078161,0.04485781563821373,Local,Bear,Education,4588.3
Fox_office_Vicki,0.46898106436867787,0.4223315171915874,0.04664954717709047,Local,Fox,Office,6580.5
Fox_office_Joy,0.4542353490475159,0.40356188956255384,0.05067345948496205,Local,Fox,Office,6581.0
Rat_office_Randy,0.35714494850648093,0.2656537950223766,0.0914911534841043,Local,Rat,Office,5779.0
Hog_parking_Antoinette,1.2028457534423402,0.9851239847049907,0.2177217687373495,Local,Hog,Parking,1949.7
Rat_assembly_Kelley,1.072536079367713,0.8540719522200602,0.21846412714765284,Local,Rat,Entertainment/public assembly,83.4
Rat_assembly_Pauline,0.45414692975878207,0.2176862919124205,0.23646063784636157,Local,Rat,Entertainment/public assembly,90.0
